relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
10787,,,,9.622050285339355
10788,2.099109224586268,1.8780001401901245,6.552000522613525,
10807,,,,9.805950164794922
10808,2.501246237077604,2.4090001583099365,6.672000408172607,
10829,,,6.850950241088867,9.177000045776367
10830,2.416894825217036,2.950050115585327,,
10848,3.0019640850991367,3.268050193786621,7.036050319671631,9.568950653076172
10867,,,,8.723999977111816
10869,2.778577828163513,3.61995005607605,6.667050361633301,
10888,3.5229123690575377,4.249050140380859,7.384950160980225,8.688000679016113
10907,,,,8.860950469970703
10908,4.028917451006706,4.703999996185303,7.521000385284424,
10928,4.028287997029472,4.783050060272217,7.710000514984131,8.47095012664795
10948,3.512319545250924,4.410000324249268,7.7560505867004395,7.687950134277344
10968,3.1326464373556506,4.144050121307373,7.519050121307373,6.829050540924072
10988,2.85287871619165,4.144050121307373,7.474050521850586,6.106050491333008
11008,2.5858260300689184,4.14900016784668,7.359000205993652,5.908050060272217
11028,,,,5.986950397491455
11029,2.254079088165623,4.0219502449035645,6.9810004234313965,
11048,1.76885609662402,3.5190000534057617,6.68595027923584,5.709000110626221
11068,,,6.375000476837158,5.058000087738037
11069,1.967679050349504,3.4930500984191895,,
11088,,,,4.065000057220459
11089,2.4005438784415083,3.0769500732421875,6.22005033493042,
11109,2.7762315027959574,,5.925000190734863,3.6660001277923584
11129,2.8623834844472067,3.0360002517700195,6.069000244140625,3.4069502353668213
11148,2.7249358388364207,3.2179501056671143,6.279000282287598,3.450000047683716
11168,,,,3.7230002880096436
11169,2.428363696999188,3.366000175476074,6.547050476074219,
11188,2.6400773422876265,3.6130502223968506,6.889950275421143,3.280050039291382
11208,2.622443634678433,3.6319501399993896,6.94005012512207,3.264000177383423
11228,,,,3.3520500659942627
11229,2.6319252579346726,3.5340001583099365,6.6910505294799805,
11248,,,,3.5629501342773438
11249,3.005996433278783,3.301950216293335,5.818050384521484,
11268,4.590018281256146,,4.234050273895264,3.204000234603882
11269,,3.61995005607605,,
11290,,,,2.1630001068115234
11291,7.3209367646705354,5.131950378417969,2.1450002193450928,
11318,10.00086361016981,5.488950252532959,0.17505000531673431,0.016950000077486038
11328,10.363323949214712,4.045950412750244,0.5820000171661377,-1.8510000705718994
11348,,,,-0.8970000147819519
11349,9.271913706946506,4.819050312042236,1.4170501232147217,
11368,8.021957781029828,6.267000198364258,2.700000047683716,0.4350000321865082
11388,7.432932757659174,7.369950294494629,3.942000150680542,1.0740000009536743
11412,,,5.028000354766846,2.3179500102996826
11413,5.374394582319468,7.255050182342529,,
11428,,,,2.893050193786621
11429,3.5027207290181104,6.355050086975098,5.83905029296875,
11449,0.8461678793883887,5.11305046081543,6.375000476837158,5.551050186157227
11469,2.4285675116916132,4.2709503173828125,7.005000114440918,7.786050319671631
11489,,,8.128950119018555,10.780050277709961
